split,seq_length
train,6297
train,6680
train,11259
train,8683
train,8438
train,8706
train,12049
train,4182
train,7963
train,4898
train,11191
train,11448
train,6798
train,13109
train,9262
train,11378
train,7045
train,4083
train,8039
train,8580
train,7831
train,9734
train,8669
train,7473
train,6497
train,10603
train,9855
train,7835
train,5995
train,7840
train,10193
train,8597
train,10756
train,6035
train,14707
train,5200
train,11534
train,8806
train,13469
train,4225
train,6324
train,6750
train,14335
train,11367
train,13313
train,11084
train,10899
train,6116
train,10520
train,8786
train,4086
train,6288
train,5349
train,7411
train,11007
train,5254
train,18252
train,8327
train,10510
train,198
train,8963
train,6667
train,6425
train,4035
train,5434
train,9656
train,6741
train,5123
train,12560
train,7842
train,6130
train,12652
train,5687
train,11173
train,4676
train,10575
train,10092
train,8037
train,6693
train,7874
train,12434
train,5100
train,4097
train,9080
train,4972
train,4264
train,10356
train,4492
train,10175
train,8083
train,9000
train,6266
train,4718
train,8390
train,3297
train,9947
train,10038
train,8144
train,5363
train,2970
train,8570
train,7660
train,11759
train,6172
train,9429
train,7243
train,2842
train,8392
train,10374
train,13282
train,9990
train,2947
train,6378
train,8199
train,4814
train,10562
train,4102
train,6739
train,12664
train,12921
train,9591
train,6054
train,9318
train,9894
train,3227
train,4657
train,3565
train,9449
train,9615
train,3187
train,10466
train,5659
train,9017
train,10077
train,8328
train,7717
train,13199
train,10645
train,4108
train,198
train,198
train,198
train,198
train,198
train,198
train,198
train,198
train,2407
train,886
train,1996
train,470
train,2284
train,821
train,2613
train,2930
train,2281
train,2645
train,1910
train,1221
train,2532
train,2436
train,740
train,4389
train,1045
train,914
train,554
train,2475
train,1741
train,554
train,3022
train,94
train,2379
train,2552
train,2520
train,3633
train,4097
train,665
train,1275
train,1123
train,2949
train,1421
train,4789
train,2309
train,1560
train,1253
train,2666
train,1950
train,434
train,1538
train,3031
train,1903
train,2622
train,961
train,925
train,1740
train,1536
train,3058
train,3180
train,530
train,2870
train,1150
train,1401
train,1856
train,2536
train,3439
train,2158
train,626
train,1025
train,1139
train,1702
train,499
train,1609
train,1903
train,1887
train,1614
train,3046
train,1871
train,1054
train,2408
train,2424
train,733
train,2610
train,1898
train,2531
train,1714
train,732
train,546
train,604
train,660
train,3212
train,2070
train,973
train,438
train,1505
train,1465
train,1657
train,3519
train,1815
train,2407
train,888
train,1708
train,1058
train,1329
train,3315
train,2464
train,2211
train,2408
train,1802
train,276
train,794
train,1374
train,1723
train,910
train,1349
train,3019
train,3297
train,1532
train,2016
train,1437
train,2791
train,506
train,2165
train,1347
train,94
train,2184
train,2473
train,1240
train,520
train,1796
train,2127
train,2805
train,2615
train,1361
train,3417
train,1477
train,912
train,2755
train,293
train,1619
train,2704
train,908
train,1947
train,799
train,460
train,954
train,2227
train,254
train,4371
train,630
train,2095
train,2885
train,2363
train,1775
train,2207
train,1644
train,1974
train,2055
train,2205
train,2860
train,1304
train,2320
train,2226
train,1112
train,1154
train,2644
train,586
train,2193
train,1169
train,1078
train,1102
train,448
train,1381
train,429
train,905
train,1588
train,2223
train,2011
train,1832
train,2443
train,1994
train,1224
train,1766
train,776
train,1718
train,1103
train,1895
train,378
train,3071
train,1548
train,2162
train,2770
train,2142
train,3949
train,680
train,1432
train,3714
train,2825
train,924
train,3436
train,2956
train,3076
train,1298
train,2410
train,966
train,1783
train,906
train,2534
train,3165
train,874
train,94
train,94
train,94
train,94
train,94
train,94
train,94
train,94
train,796194
train,757848
train,824556
train,701264
train,816857
train,805690
train,665247
train,790123
train,854375
train,767949
train,967485
train,856146
train,481458
train,842749
train,852335
train,784429
train,861778
train,815298
train,868143
train,863189
train,837398
train,953267
train,997709
train,800176
train,852674
train,713708
train,790558
train,829901
train,771752
train,612536
train,765810
train,691008
train,751705
train,627292
train,800522
train,846481
train,917035
train,884533
train,862881
train,720447
train,913573
train,1027201
train,770526
train,751653
train,741761
train,788245
train,873577
train,827526
train,782947
train,23691
train,3156
train,840637
train,832409
train,743860
train,803169
train,1009863
train,836166
train,969733
train,746898
train,1104985
train,797144
train,733516
train,642818
train,778268
train,811441
train,881175
train,875857
train,819413
train,920416
train,878331
train,821570
train,843363
train,821507
train,893120
train,846540
train,817156
train,834596
train,829220
train,865919
train,809400
train,762446
train,750318
train,948385
train,884052
train,883279
train,844085
train,733634
train,842031
train,798207
train,831519
train,745490
train,931218
train,816049
train,729426
train,944224
train,862817
train,921148
train,830681
train,780590
train,920346
train,714888
train,827022
train,827795
train,799762
train,866067
train,837105
train,865662
train,952126
train,730908
train,708616
train,909362
train,763157
train,951775
train,814587
train,866102
train,798353
train,871037
train,798417
train,797940
train,423954
train,802548
train,748018
train,908944
train,786824
train,875164
train,679980
train,925736
train,784726
train,704720
train,828898
train,827840
train,782064
train,669325
train,862789
train,734974
train,758627
train,831138
train,768793
train,737918
train,771545
train,777883
train,924102
train,721901
train,831966
train,916190
train,970684
train,818419
train,750164
train,625567
train,852590
train,721726
train,769544
train,780393
train,830772
train,847838
train,925856
train,858109
train,863773
train,811720
train,840417
train,896638
train,813385
train,898273
train,891957
train,757670
train,799575
train,830453
train,758487
train,815479
train,821204
train,738606
train,900566
train,864104
train,867466
train,751566
train,975911
train,735013
train,761588
train,706421
train,866573
train,740510
train,759531
train,755080
train,924267
train,801358
train,820404
train,749083
train,867786
train,532327
train,831408
train,754217
train,768724
train,737195
train,942675
train,941825
train,754048
train,834242
train,871777
train,771085
train,510532
train,496618
train,523106
train,378961
train,438860
train,400654
train,448599
train,396936
train,492528
train,1416
train,1535
train,421
train,658
train,1544
train,523
train,730
train,893
train,1068
train,1380
train,1711
train,1104
train,163
train,0
train,365
train,1645
train,1233
train,981
train,1458
train,796
train,1022
train,404
train,844
train,704
train,1156
train,1414
train,1166
train,782
train,739
train,1749
train,712
train,1129
train,1918
train,492
train,431
train,1407
train,978
train,1264
train,1441
train,1034
train,625
train,648
train,728
train,1070
train,1384
train,1039
train,1045
train,1029
train,775
train,555
train,1673
train,860
train,752
train,1282
train,353
train,1420
train,742
train,1087
train,792
train,1810
train,405
train,714
train,1145
train,1182
train,1368
train,388
train,2003
train,1393
train,1533
train,1173
train,1357
train,0
train,1770
train,820
train,731
train,1251
train,1297
train,803
train,822
train,1309
train,793
train,805
train,1530
train,1033
train,1492
train,710
train,1052
train,1084
train,1414
train,1397
train,1383
train,665
train,1092
train,1523
train,912
train,1537
train,633
train,1063
train,1664
train,1044
train,526
train,1075
train,1106
train,458
train,887
train,1177
train,711
train,1602
train,836
train,1479
train,480
train,958
train,1058
train,1509
train,1324
train,1330
train,181
train,1031
train,1248
train,804
train,659
train,436
train,1642
train,633
train,867
train,1428
train,1162
train,1245
train,538
train,660
train,1261
train,1204
train,744
train,746
train,1643
train,1035
train,1000
train,1177
train,718
train,1774
train,1099
train,1176
train,1273
train,1086
train,772
train,1274
train,1498
train,1081
train,433
train,799
train,1004
train,1073
train,21
train,777
train,1330
train,1027
train,1488
train,1101
train,1069
train,1509
train,1023
train,1002
train,1005
train,95
train,2039
train,716
train,1082
train,1133
train,1141
train,535
train,1082
train,1464
train,1260
train,1080
train,868
train,1909
train,1124
train,1582
train,1459
train,424
train,1459
train,445
train,1211
train,819
train,762
train,1209
train,414
train,761
train,1152
train,777
train,864
train,697
train,709
train,1360
train,1090
train,1026
train,1022
train,984
train,1462
train,965
train,913
train,1591
train,0
train,0
train,0
train,0
train,0
train,0
train,0
train,0
train,78355
train,127930
train,101985
train,112502
train,107475
train,170
train,56222
train,122794
train,60302
train,119464
train,99086
train,89796
train,121243
train,57967
train,69756
train,82094
train,125584
train,138728
train,57818
train,85906
train,132531
train,152420
train,136363
train,168386
train,161177
train,78254
train,107785
train,109027
train,105797
train,103017
train,110460
train,78217
train,116035
train,137885
train,175638
train,75155
train,149767
train,119314
train,117164
train,117818
train,116050
train,84027
train,124530
train,67189
train,110534
train,99900
train,167
train,142732
train,113574
train,138976
train,146699
train,153409
train,125573
train,121743
train,71245
train,103180
train,55473
train,76194
train,95417
train,91345
train,93094
train,111064
train,123149
train,131184
train,94424
train,159223
train,113320
train,117061
train,145315
train,105263
train,123118
train,123627
train,119971
train,134191
train,146482
train,118644
train,64279
train,68988
train,140922
train,108726
train,78440
train,70026
train,87953
train,107549
train,73969
train,147388
train,99663
train,86914
train,131324
train,103415
train,116783
train,98199
train,45371
train,115623
train,136415
train,120707
train,130232
train,129864
train,155987
train,94125
train,92792
train,157939
train,100589
train,163542
train,136701
train,147683
train,112561
train,121792
train,93694
train,154519
train,92059
train,120814
train,157696
train,106876
train,118988
train,79748
train,93135
train,170
train,147572
train,136849
train,96707
train,83621
train,137935
train,89854
train,119830
train,80264
train,116963
train,73424
train,108144
train,75553
train,117920
train,126617
train,137617
train,110467
train,67687
train,92867
train,45295
train,125591
train,85877
train,101155
train,95735
train,130233
train,118380
train,135342
train,137559
train,58576
train,107333
train,108226
train,102683
train,90331
train,105685
train,106983
train,166856
train,99944
train,149046
train,86053
train,148668
train,123501
train,77865
train,147550
train,129576
train,86586
train,61043
train,80293
train,133353
train,88017
train,133356
train,108804
train,80630
train,139664
train,116828
train,98268
train,99422
train,154518
train,84117
train,98528
train,157305
train,82770
train,134655
train,86980
train,113427
train,96663
train,88056
train,170
train,116623
train,137333
train,89175
train,101091
train,147004
train,123801
train,104764
train,154963
train,108577
train,76155
train,127255
train,101610
train,147279
train,129364
train,116800
train,136228
train,119013
train,84254
train,106054
train,120172
train,167
train,168
train,165
train,170
train,170
train,170
train,356771
train,263854
train,343873
train,392938
train,393189
train,459
train,267200
train,480946
train,384374
train,521667
train,638538
train,290417
train,553838
train,332299
train,409143
train,512067
train,349413
train,345882
train,547102
train,284227
train,452
train,339651
train,262246
train,331691
train,197822
train,517762
train,257328
train,371534
train,219341
train,293360
train,518546
train,430393
train,484263
train,299444
train,269303
train,288883
train,285247
train,334162
train,482134
train,310661
train,400768
train,361548
train,502726
train,501040
train,451592
train,396332
train,543820
train,325955
train,395039
train,311698
train,340980
train,375071
train,389236
train,295344
train,357993
train,306000
train,324620
train,418759
train,257345
train,505093
train,484552
train,424356
train,410048
train,570798
train,386853
train,416784
train,452
train,443910
train,422993
train,373367
train,300654
train,481226
train,320515
train,285569
train,311434
train,238308
train,431558
train,502105
train,167
train,284651
train,466676
train,593027
train,361414
train,349193
train,475886
train,374836
train,458571
train,191459
train,265076
train,387321
train,339185
train,296725
train,573894
train,438746
train,375874
train,378508
train,387605
train,644873
train,614950
train,194534
train,303156
train,480923
train,394404
train,327640
train,273547
train,307772
train,556794
train,321731
train,573914
train,262082
train,347802
train,328395
train,572213
train,463266
train,305420
train,368262
train,260901
train,395297
train,508064
train,406711
train,370904
train,557600
train,645264
train,298651
train,451789
train,434581
train,404281
train,462642
train,357062
train,344377
train,464783
train,435544
train,374237
train,335731
train,455968
train,378945
train,589913
train,458
train,576218
train,248687
train,506764
train,409805
train,497874
train,538213
train,580815
train,492576
train,466325
train,313178
train,409641
train,344342
train,308888
train,416499
train,472049
train,386888
train,567398
train,500972
train,556912
train,231223
train,362101
train,352705
train,500340
train,363848
train,606
train,310815
train,422699
train,379963
train,289766
train,446669
train,393763
train,385191
train,346797
train,360315
train,466566
train,298296
train,416464
train,167
train,286920
train,388446
train,285083
train,533986
train,377724
train,481757
train,464427
train,303820
train,596689
train,402005
train,423320
train,323457
train,542527
train,199817
train,370666
train,357278
train,427209
train,366433
train,252856
train,500665
train,308433
train,220060
train,523575
train,318525
train,378783
train,436036
train,172
train,167
train,172
train,167
train,167
train,172
train,167
train,167
train,863109
train,994053
train,645488
train,874469
train,936493
train,701108
train,414357
train,685824
train,833488
train,889288
train,924187
train,842939
train,860540
train,688930
train,898081
train,730692
train,906483
train,664905
train,618704
train,670342
train,843200
train,675890
train,889570
train,668437
train,897310
train,835142
train,936009
train,624831
train,681763
train,931209
train,923844
train,912746
train,648534
train,886065
train,562326
train,893788
train,736212
train,878885
train,677442
train,920285
train,927657
train,681925
train,913680
train,823874
train,934113
train,642557
train,836908
train,902863
train,837935
train,824564
train,825765
train,673175
train,902738
train,852537
train,657288
train,682033
train,682116
train,408624
train,990170
train,650440
train,869640
train,646238
train,850072
train,853826
train,719113
train,911125
train,663774
train,879755
train,687043
train,984695
train,704042
train,685862
train,908653
train,681391
train,896153
train,675986
train,722226
train,715812
train,569640
train,660322
train,648666
train,737900
train,837974
train,892427
train,845543
train,655358
train,719731
train,893407
train,668982
train,691560
train,969040
train,971926
train,875763
train,887071
train,715541
train,729664
train,703144
train,947380
train,858468
train,712612
train,917184
train,421737
train,684457
train,930825
train,589028
train,6728
train,722472
train,705921
train,619567
train,960050
train,927866
train,10941
train,673435
train,888996
train,734606
train,892520
train,830049
train,1022392
train,622774
train,706634
train,839456
train,923755
train,845546
train,690551
train,674608
train,718006
train,725881
train,716252
train,727244
train,685115
train,692536
train,709483
train,729743
train,692029
train,710603
train,946965
train,691169
train,914002
train,872705
train,981735
train,721305
train,675335
train,928303
train,861242
train,685391
train,868260
train,589007
train,865442
train,834705
train,687888
train,673547
train,681033
train,876625
train,719290
train,673023
train,875152
train,850049
train,720340
train,654529
train,942850
train,974588
train,926409
train,406161
train,869464
train,935933
train,666823
train,664298
train,879992
train,661507
train,670815
train,573501
train,707105
train,573919
train,661328
train,709697
train,1002740
train,602264
train,733149
train,852437
train,855517
train,720589
train,723213
train,737013
train,721146
train,716370
train,574074
train,687582
train,828251
train,640472
train,736518
train,874980
train,669914
train,934232
train,900473
train,682492
train,855771
train,896032
train,718058
train,663688
train,844386
train,835696
train,955294
train,687603
train,938029
train,356366
train,405578
train,369941
train,404055
train,411850
train,341930
train,454184
train,31256
train,35724
train,40375
train,135
train,23043
train,49477
train,38204
train,35082
train,38416
train,26540
train,19426
train,15790
train,33656
train,28354
train,27235
train,29554
train,20733
train,23085
train,33574
train,27476
train,21485
train,17782
train,25627
train,35040
train,18030
train,26963
train,32958
train,28875
train,25583
train,45600
train,30966
train,37754
train,24059
train,29071
train,25098
train,29350
train,29657
train,41886
train,23727
train,52808
train,31749
train,38291
train,39226
train,29217
train,31136
train,21691
train,20733
train,37825
train,21954
train,38410
train,32653
train,22845
train,25468
train,20941
train,22431
train,19962
train,21787
train,32215
train,37312
train,40662
train,45261
train,31790
train,135
train,30769
train,17589
train,21042
train,32920
train,24777
train,35186
train,17808
train,34861
train,33691
train,29265
train,32065
train,37322
train,48190
train,21881
train,17117
train,18149
train,34420
train,35928
train,24390
train,39330
train,40456
train,27702
train,36028
train,40709
train,35667
train,28719
train,19009
train,35242
train,31154
train,20820
train,31763
train,24662
train,18898
train,32507
train,18606
train,37163
train,24992
train,32457
train,37992
train,36372
train,36280
train,29181
train,46976
train,19380
train,28468
train,19224
train,25758
train,26618
train,49623
train,33440
train,19191
train,17021
train,44115
train,33194
train,39501
train,23793
train,25120
train,46375
train,38042
train,31040
train,43092
train,135
train,14598
train,23688
train,17244
train,36916
train,25786
train,40635
train,40352
train,34815
train,29180
train,24644
train,29626
train,33979
train,20361
train,61252
train,27368
train,33682
train,31912
train,38638
train,40949
train,29487
train,28235
train,27819
train,34151
train,48432
train,39641
train,17627
train,37840
train,32933
train,37394
train,40829
train,29744
train,44043
train,32804
train,23334
train,48400
train,26824
train,25382
train,43799
train,20411
train,22995
train,29600
train,26905
train,55393
train,38074
train,24027
train,13598
train,34640
train,49981
train,37061
train,35702
train,34436
train,21461
train,27720
train,45018
train,21899
train,49698
train,29123
train,39910
train,28272
train,34181
train,35670
train,34899
train,28283
train,30157
train,25544
train,29349
train,39975
train,27925
train,39428
train,28651
train,33704
train,39544
train,32065
train,132
train,37471
train,27307
train,135
train,135
train,39416
train,135
train,16678
train,135
train,37659
train,135
train,135
train,345930
train,315369
train,300556
train,130129
train,248142
train,98954
train,376583
train,201077
train,58616
train,95802
train,61454
train,241259
train,104058
train,109702
train,118681
train,71639
train,269831
train,202552
train,182443
train,126611
train,99764
train,220505
train,114169
train,2731
train,196076
train,252335
train,172890
train,119904
train,347637
train,111353
train,229492
train,140683
train,163266
train,189880
train,234749
train,351512
train,395978
train,459162
train,425931
train,225792
train,279367
train,150312
train,87078
train,303716
train,225740
train,432386
train,137077
train,541814
train,130934
train,494694
train,204015
train,146574
train,139273
train,220045
train,206599
train,152554
train,137905
train,203828
train,99383
train,91082
train,67513
train,108020
train,248235
train,268495
train,161774
train,195872
train,119316
train,208918
train,391024
train,180702
train,244405
train,140187
train,238286
train,85988
train,174563
train,38740
train,273855
train,83348
train,405724
train,95109
train,336542
train,285536
train,80110
train,110606
train,114202
train,179416
train,132716
train,389621
train,133309
train,162091
train,142588
train,280755
train,176893
train,207768
train,114945
train,158527
train,194197
train,69347
train,112687
train,297134
train,347252
train,148188
train,62169
train,160079
train,226836
train,88223
train,723270
train,299895
train,92250
train,269098
train,382904
train,137093
train,42597
train,202079
train,86458
train,121627
train,94967
train,139295
train,151994
train,133357
train,254343
train,74758
train,693453
train,589928
train,300353
train,289729
train,95100
train,179234
train,385961
train,287262
train,256418
train,465185
train,218536
train,144595
train,488039
train,243645
train,103481
train,229877
train,120209
train,125591
train,55526
train,147677
train,162938
train,325779
train,172381
train,274380
train,460369
train,193246
train,241260
train,243616
train,211375
train,153884
train,105869
train,95686
train,171454
train,363992
train,161759
train,414370
train,250371
train,198517
train,176288
train,607157
train,244619
train,198815
train,199262
train,443805
train,213055
train,82202
train,307401
train,236369
train,73064
train,200287
train,94913
train,187019
train,81170
train,369481
train,92416
train,131181
train,171902
train,209365
train,148859
train,129685
train,531567
train,82910
train,215408
train,172435
train,344070
train,200644
train,280400
train,256973
train,3250
train,643648
train,383249
train,49453
train,182051
train,248203
train,91528
train,157883
train,219332
train,278736
train,60032
train,273130
train,3423
train,3329
train,3408
train,2729
train,3374
train,3309
train,2710
train,3169
train,103318
train,57104
train,161925
train,34084
train,41250
train,76141
train,67477
train,94199
train,103765
train,86784
train,39359
train,132990
train,73495
train,117536
train,54116
train,129596
train,91544
train,54299
train,122659
train,111841
train,113881
train,30399
train,71331
train,100817
train,121927
train,104294
train,83974
train,115379
train,137228
train,128417
train,43062
train,88309
train,34755
train,70894
train,67347
train,49643
train,149943
train,83967
train,96830
train,40477
train,99968
train,100828
train,46069
train,34271
train,126617
train,113642
train,1399
train,93899
train,44761
train,41513
train,74890
train,76164
train,126929
train,111462
train,98229
train,90013
train,99762
train,122885
train,104373
train,111076
train,84281
train,113189
train,85900
train,106603
train,133768
train,78001
train,125533
train,76953
train,73244
train,65810
train,39037
train,93368
train,44850
train,154218
train,62789
train,51215
train,74812
train,46986
train,104087
train,28988
train,131637
train,124103
train,78620
train,74567
train,57630
train,113691
train,120516
train,36314
train,61528
train,113388
train,69619
train,42691
train,35036
train,30215
train,105659
train,74599
train,41391
train,92562
train,151076
train,96555
train,133441
train,99635
train,100371
train,77062
train,70222
train,65890
train,91734
train,77835
train,52468
train,70189
train,105259
train,38014
train,100835
train,88058
train,105960
train,75202
train,34077
train,89197
train,82252
train,31298
train,137241
train,74599
train,59032
train,124202
train,90792
train,118650
train,138985
train,116830
train,64926
train,101207
train,101871
train,131566
train,48064
train,83589
train,123376
train,82251
train,36689
train,76813
train,45663
train,92934
train,41510
train,99155
train,53365
train,71990
train,131596
train,53809
train,72315
train,97592
train,120428
train,41617
train,100946
train,35513
train,120654
train,58348
train,35758
train,43083
train,46869
train,54230
train,129461
train,1443
train,56359
train,118825
train,105531
train,66132
train,94454
train,64691
train,40808
train,108076
train,33053
train,102748
train,68468
train,43600
train,48469
train,122335
train,57859
train,47938
train,46219
train,76440
train,108098
train,55004
train,98182
train,79330
train,162895
train,101142
train,78600
train,100414
train,54706
train,74926
train,84836
train,108463
train,78369
train,89053
train,89044
train,116150
train,59419
train,149478
train,63586
train,75963
train,67178
train,1453
train,85732
train,82437
train,107071
train,1396
train,1438
train,1440
train,1390
train,1391
train,1396
train,1400
train,309364
train,261894
train,225961
train,303662
train,224716
train,203641
train,214172
train,320102
train,287920
train,327425
train,242593
train,337286
train,335886
train,318628
train,359332
train,224041
train,230134
train,325799
train,195689
train,269787
train,219508
train,232786
train,256530
train,328145
train,285350
train,197353
train,161434
train,237212
train,283154
train,259667
train,288310
train,317950
train,383564
train,253934
train,224756
train,193807
train,227449
train,253881
train,337958
train,248549
train,359787
train,283586
train,375643
train,301877
train,352485
train,246794
train,260290
train,232811
train,287279
train,261773
train,269784
train,341242
train,397324
train,288494
train,224815
train,211411
train,187790
train,296303
train,290817
train,195717
train,263956
train,256562
train,254485
train,222204
train,261612
train,298966
train,252463
train,293687
train,290209
train,237471
train,294748
train,383696
train,301337
train,286373
train,208979
train,310950
train,253874
train,193747
train,284707
train,369604
train,325472
train,269490
train,293802
train,320156
train,378300
train,224897
train,336026
train,243397
train,392308
train,338120
train,317018
train,258028
train,314209
train,364433
train,90
train,301050
train,396821
train,309411
train,256573
train,211554
train,351936
train,322647
train,295097
train,212933
train,275736
train,358644
train,256552
train,245961
train,257379
train,180398
train,316785
train,295288
train,291251
train,301115
train,216851
train,329515
train,350456
train,298950
train,232738
train,285616
train,235310
train,283770
train,308892
train,401824
train,343966
train,279854
train,197757
train,306207
train,201164
train,288223
train,325362
train,169585
train,240821
train,322574
train,290908
train,281791
train,372976
train,378272
train,241444
train,277738
train,311886
train,275510
train,200988
train,270526
train,275600
train,248569
train,306972
train,323461
train,172255
train,261782
train,235937
train,352553
train,282978
train,269123
train,339461
train,236968
train,286491
train,280443
train,301575
train,311161
train,255589
train,245954
train,411372
train,359817
train,230046
train,223626
train,257964
train,161909
train,288422
train,314897
train,203603
train,187769
train,349211
train,90
train,314219
train,228266
train,285658
train,346510
train,253183
train,365257
train,257241
train,312135
train,218973
train,200504
train,239464
train,367223
train,227476
train,275273
train,413397
train,256536
train,290937
train,306996
train,250607
train,253960
train,385154
train,211646
train,460740
train,396009
train,311148
train,290433
train,272473
train,322265
train,90
train,90
train,90
train,90
train,89
train,90
train,90
train,89
train,565884
train,489438
train,447424
train,754768
train,547187
train,256882
train,396193
train,3632
train,201501
train,576290
train,373740
train,362135
train,277293
train,484293
train,385106
train,282718
train,697902
train,302149
train,443680
train,262594
train,467955
train,505584
train,512635
train,736956
train,603905
train,386097
train,502666
train,391801
train,479282
train,605527
train,518130
train,346236
train,621088
train,20501
train,398054
train,22620
train,683907
train,251667
train,633874
train,401542
train,898858
train,555269
train,753603
train,530584
train,175407
train,369835
train,589656
train,299093
train,460079
train,392316
train,418127
train,697905
train,345778
train,370761
train,775458
train,646377
train,358609
train,458257
train,612823
train,549543
train,387261
train,433791
train,636394
train,606852
train,323926
train,608114
train,354367
train,565415
train,780028
train,3763
train,204541
train,20468
train,341101
train,372561
train,814490
train,46291
train,240320
train,407274
train,361344
train,333436
train,477488
train,669280
train,709195
train,466763
train,435733
train,433552
train,354639
train,744768
train,352075
train,458112
train,411670
train,378760
train,601105
train,69331
train,709069
train,676277
train,19118
train,324533
train,543308
train,433925
train,264993
train,874829
train,252652
train,606084
train,579355
train,303813
train,14951
train,324040
train,527159
train,343553
train,476465
train,366566
train,696429
train,553961
train,49139
train,896559
train,582536
train,677078
train,748041
train,621993
train,435798
train,369332
train,528105
train,698222
train,269597
train,21565
train,347987
train,478351
train,530744
train,468999
train,853717
train,457436
train,17777
train,541773
train,347572
train,678939
train,801743
train,349429
train,546988
train,542836
train,386655
train,514992
train,432460
train,426041
train,508100
train,424719
train,655834
train,19402
train,615966
train,472305
train,668257
train,443408
train,576866
train,221699
train,680359
train,346459
train,557060
train,529490
train,440185
train,445839
train,564356
train,535941
train,242198
train,524787
train,121683
train,728096
train,19132
train,385643
train,915665
train,456197
train,493040
train,357202
train,427690
train,345796
train,834196
train,622660
train,638063
train,269147
train,498669
train,453629
train,453815
train,513720
train,525944
train,369488
train,551197
train,621022
train,431783
train,407541
train,363392
train,22643
train,634121
train,245145
train,539959
train,631151
train,3592
train,651477
train,695401
train,403905
train,22898
train,562681
train,607108
train,278992
train,394187
train,2839
train,3235
train,3499
train,3974
train,3773
train,3689
train,3514
train,81257
train,115645
train,114212
train,108164
train,96967
train,83152
train,110705
train,74141
train,66017
train,87484
train,59631
train,116689
train,68986
train,120208
train,113525
train,108072
train,90162
train,64685
train,87590
train,79823
train,106905
train,84016
train,92203
train,74231
train,113303
train,69638
train,62261
train,115883
train,108265
train,70811
train,137912
train,86155
train,84132
train,113188
train,83925
train,90858
train,107342
train,123369
train,111334
train,72952
train,116247
train,65780
train,97691
train,96432
train,118673
train,99407
train,151196
train,90684
train,76964
train,116441
train,111656
train,119001
train,150567
train,84412
train,86954
train,71555
train,85821
train,56160
train,63738
train,120237
train,97430
train,70858
train,83840
train,102059
train,61639
train,80547
train,125543
train,102392
train,93729
train,128952
train,91794
train,60741
train,107854
train,68611
train,86374
train,70038
train,120179
train,112838
train,56706
train,1446
train,102214
train,72513
train,68819
train,89815
train,72065
train,86175
train,80874
train,91090
train,100134
train,115348
train,124166
train,62176
train,107602
train,73064
train,94539
train,94055
train,84417
train,81334
train,136323
train,77518
train,137564
train,55276
train,137631
train,101661
train,120736
train,77711
train,110638
train,73151
train,151563
